Dates,Stock,Last Price,Open Price,High Price,Low Price,Volume,Bid Price,Ask Price,Market Order Bid Size,Market Order Ask Size,Average Volume 30 Day,Moving Average 20 Day,Turnover / Traded Value,RSI 14 Day,Moving Average 20 Day,Moving Average 50 Day,Moving Average 200 Day,Volatility 30 Day,Implied Volatility Mid,Current Market Cap,VWAP Price
10/8/2017,FUBO US Equity,23.7002,23.7002,23.7002,23.7002,0,15.3002,22.5002,#N/A N/A,#N/A N/A,2.4922,29.916,13,41.8166,29.916,58.1669,126.8178,1844.199,#N/A N/A,0.0276,23.7002
11/8/2017,FUBO US Equity,23.7002,23.7002,23.7002,23.7002,0,15.3002,22.5002,#N/A N/A,#N/A N/A,2.4311,29.916,13,41.8166,29.916,58.1669,126.8178,1844.199,#N/A N/A,0.0276,23.7002
14/8/2017,FUBO US Equity,23.7002,23.7002,23.7002,23.7002,0,15.3002,22.5002,#N/A N/A,#N/A N/A,2.4311,29.916,0.51,41.8166,29.916,58.1669,126.8178,1844.199,#N/A N/A,0.0276,23.7002
15/8/2017,FUBO US Equity,23.7002,23.7002,23.7002,23.7002,0,15.3002,22.5002,#N/A N/A,#N/A N/A,2.4311,29.916,0.51,41.8166,29.916,58.1669,126.8178,1844.199,#N/A N/A,0.0276,23.7002
16/8/2017,FUBO US Equity,23.7002,23.7002,23.7002,23.7002,0,15.3002,22.5002,#N/A N/A,#N/A N/A,2.4311,29.916,0.51,41.8166,29.916,58.1669,126.8178,1844.199,#N/A N/A,0.0276,23.7002
17/8/2017,FUBO US Equity,23.7002,23.7002,23.7002,23.7002,0,15.3002,22.5002,#N/A N/A,#N/A N/A,2.4311,29.916,0.51,41.8166,29.916,58.1669,126.8178,1844.199,#N/A N/A,0.0276,23.7002
18/8/2017,FUBO US Equity,23.7002,23.7002,23.7002,23.7002,0,15.3002,22.5002,#N/A N/A,#N/A N/A,2.43,29.916,0.51,41.8166,29.916,58.1669,126.8178,1844.199,#N/A N/A,0.0276,23.7002
21/8/2017,FUBO US Equity,23.7002,23.7002,23.7002,23.7002,0,15.3002,22.5002,#N/A N/A,#N/A N/A,2.4289,29.916,0.51,41.8166,29.916,58.1669,126.8178,1844.199,#N/A N/A,0.0276,23.7002
22/8/2017,FUBO US Equity,15.3002,22.5002,22.5002,15.3002,7,15.3002,22.5002,#N/A N/A,#N/A N/A,2.6511,25.9935,126,38.6876,25.9935,54.7228,125.9568,1844.832,#N/A N/A,40.4537,18.9002
23/8/2017,FUBO US Equity,15.3002,22.5002,22.5002,15.3002,7,15.3002,22.5002,#N/A N/A,#N/A N/A,2.5266,25.9935,126,38.6876,25.9935,54.7228,125.9568,1844.832,#N/A N/A,40.4537,18.9002
24/8/2017,FUBO US Equity,15.3002,22.5002,22.5002,15.3002,7,15.3002,22.5002,#N/A N/A,#N/A N/A,1.4144,25.9935,126,38.6876,25.9935,54.7228,125.9568,1844.832,#N/A N/A,40.4537,18.9002
25/8/2017,FUBO US Equity,16.9562,16.9562,16.9562,16.9562,9,15.3002,22.5002,#N/A N/A,#N/A N/A,1.4522,24.0288,152.6,39.6464,24.0288,53.1869,125.2916,1845.249,#N/A N/A,44.8322,16.9562
