Dates,Stock,Last Price,Open Price,High Price,Low Price,Volume,Bid Price,Ask Price,Market Order Bid Size,Market Order Ask Size,Average Volume 30 Day,Moving Average 20 Day,Turnover / Traded Value,RSI 14 Day,Moving Average 20 Day,Moving Average 50 Day,Moving Average 200 Day,Volatility 30 Day,Implied Volatility Mid,Current Market Cap,VWAP Price
20/9/2019,ALT US Equity,2.11,2.02,2.14,2.02,120503,2.07,2.1,#N/A N/A,#N/A N/A,129142.1,2.103,251093,47.5463,2.103,2.2058,2.6158,48.418,#N/A N/A,32.3632,2.0815
23/9/2019,ALT US Equity,2.09,2.08,2.11,2.07,73030,2.07,2.09,#N/A N/A,#N/A N/A,126439.9333,2.1035,152309.9,46.1867,2.1035,2.1986,2.61,48.209,#N/A N/A,32.0564,2.0858
24/9/2019,ALT US Equity,2.03,2.06,2.07,2.01,113778,2.01,2.04,#N/A N/A,#N/A N/A,125914.7,2.104,231557.3,42.2804,2.104,2.1898,2.6041,48.486,#N/A N/A,31.1361,2.0334
25/9/2019,ALT US Equity,2.01,2.05,2.08,2.01,87780,2.01,2.03,#N/A N/A,#N/A N/A,123454.3,2.1065,178384.4,41.0345,2.1065,2.1802,2.5982,46.808,#N/A N/A,30.8294,2.0323
26/9/2019,ALT US Equity,2,2.01,2.11,1.95,238219,1.99,2,#N/A N/A,#N/A N/A,126321.6667,2.1075,479799.7,40.3936,2.1075,2.1712,2.5928,46.592,#N/A N/A,30.676,2.014
27/9/2019,ALT US Equity,1.95,2,2.04,1.92,165536,1.93,1.95,#N/A N/A,#N/A N/A,126794.9667,2.102,322301.3,37.2601,2.102,2.1636,2.5873,46.989,#N/A N/A,29.9091,1.9465
30/9/2019,ALT US Equity,1.95,1.93,2.01,1.91,119433,1.95,1.97,#N/A N/A,#N/A N/A,126223.9667,2.094,233138.7,37.2601,2.094,2.1556,2.5818,40.442,#N/A N/A,29.9091,1.9517
1/10/2019,ALT US Equity,1.9,1.96,1.9885,1.9,166878,1.9,1.91,#N/A N/A,#N/A N/A,123877.3667,2.084,320682.2,34.1845,2.084,2.1468,2.5793,40.347,#N/A N/A,29.1422,1.9216
2/10/2019,ALT US Equity,1.89,1.91,1.95,1.89,68045,1.89,1.92,#N/A N/A,#N/A N/A,124069,2.0735,129711.8,33.5874,2.0735,2.1384,2.578,40.349,#N/A N/A,28.9888,1.9056
3/10/2019,ALT US Equity,1.88,1.87,1.91,1.85,67107,1.88,1.92,#N/A N/A,#N/A N/A,117950.7,2.0645,126207.1,32.9672,2.0645,2.1294,2.5764,40.26,#N/A N/A,28.8354,1.8808
4/10/2019,ALT US Equity,1.9,1.9,1.97,1.9,132509,1.9,1.95,#N/A N/A,#N/A N/A,120787.1333,2.0585,256307.8,35.5311,2.0585,2.1208,2.5751,40.032,#N/A N/A,29.1422,1.9344
7/10/2019,ALT US Equity,1.9,1.91,1.96,1.89,52633,1.9,1.93,#N/A N/A,#N/A N/A,120122.7333,2.047,101425.9,35.5311,2.047,2.1106,2.5742,39.208,#N/A N/A,29.1422,1.9276
