Dates,Stock,Last Price,Open Price,High Price,Low Price,Volume,Bid Price,Ask Price,Market Order Bid Size,Market Order Ask Size,Average Volume 30 Day,Moving Average 20 Day,Turnover / Traded Value,RSI 14 Day,Moving Average 20 Day,Moving Average 50 Day,Moving Average 200 Day,Volatility 30 Day,Implied Volatility Mid,Current Market Cap,VWAP Price
15/7/2016,CELH US Equity,0.713,0.713,0.713,0.707,1185,0.7,0.713,#N/A N/A,#N/A N/A,37851.8,0.7568,844,38.6854,0.7568,0.7958,0.6921,36.898,#N/A N/A,82.176,0.7111
18/7/2016,CELH US Equity,0.7,0.7,0.7,0.7,300,0.7,0.72,#N/A N/A,#N/A N/A,37543.8,0.7495,210,36.1115,0.7495,0.7936,0.6922,36.694,#N/A N/A,80.64,0.7
19/7/2016,CELH US Equity,0.687,0.69,0.7,0.687,5991,0.687,0.69,#N/A N/A,#N/A N/A,37180.5,0.7425,4137.37,33.697,0.7425,0.7909,0.6921,35.643,#N/A N/A,79.104,0.6899
20/7/2016,CELH US Equity,0.7,0.697,0.713,0.687,13710,0.7,0.713,#N/A N/A,#N/A N/A,36463.1,0.7362,9636.48,38.1505,0.7362,0.7887,0.6921,35.24,#N/A N/A,80.64,0.7031
21/7/2016,CELH US Equity,0.7,0.701,0.701,0.7,6390,0.703,0.713,#N/A N/A,#N/A N/A,36301.7,0.7307,4478.6,38.1505,0.7307,0.7864,0.6918,35.2,#N/A N/A,80.64,0.7006
22/7/2016,CELH US Equity,0.7,0.708,0.713,0.657,47091,0.677,0.7,#N/A N/A,#N/A N/A,36754.3,0.7248,31955.13,38.1505,0.7248,0.7839,0.6915,32.317,#N/A N/A,80.64,0.6784
25/7/2016,CELH US Equity,0.683,0.7,0.71,0.683,31764,0.683,0.713,#N/A N/A,#N/A N/A,37223.2,0.7192,22106.11,34.5296,0.7192,0.7815,0.6911,32.759,#N/A N/A,78.72,0.696
26/7/2016,CELH US Equity,0.7,0.657,0.7,0.657,12891,0.673,0.7,#N/A N/A,#N/A N/A,36515,0.7155,8808.22,40.6009,0.7155,0.7793,0.6912,33.099,#N/A N/A,80.64,0.6829
27/7/2016,CELH US Equity,0.7,0.677,0.7,0.677,5577,0.677,0.7,#N/A N/A,#N/A N/A,35201.4,0.7115,3830.95,40.6009,0.7115,0.7767,0.6915,33.149,#N/A N/A,80.64,0.6875
28/7/2016,CELH US Equity,0.693,0.693,0.693,0.693,1155,0.673,0.693,#N/A N/A,#N/A N/A,35116.5,0.7073,796.4,38.9263,0.7073,0.7741,0.6916,33.121,#N/A N/A,79.872,0.6933
29/7/2016,CELH US Equity,0.7,0.673,0.7,0.67,25812,0.67,0.7,#N/A N/A,#N/A N/A,35280.5,0.7042,17785.84,41.5237,0.7042,0.7717,0.6918,32.78,#N/A N/A,80.64,0.6892
1/8/2016,CELH US Equity,0.767,0.67,0.8,0.67,13053,0.717,0.767,#N/A N/A,#N/A N/A,35292.3,0.7048,9528.27,59.893,0.7048,0.771,0.6923,43.447,#N/A N/A,88.32,0.7315
2/8/2016,CELH US Equity,0.73,0.733,0.733,0.68,14079,0.68,0.73,#N/A N/A,#N/A N/A,34282.4,0.704,10142.58,50.4973,0.704,0.7693,0.6927,45.599,#N/A N/A,84.096,0.7203
3/8/2016,CELH US Equity,0.73,0.703,0.73,0.703,3753,0.723,0.73,#N/A N/A,#N/A N/A,32706.6,0.7042,2705.65,50.4973,0.7042,0.7676,0.693,45.34,#N/A N/A,84.096,0.7209
4/8/2016,CELH US Equity,0.75,0.733,0.75,0.733,5715,0.747,0.75,#N/A N/A,#N/A N/A,32391.6,0.7058,4232.48,54.9664,0.7058,0.7662,0.6933,46.138,#N/A N/A,86.4,0.7407
5/8/2016,CELH US Equity,0.747,0.75,0.755,0.747,29844,0.747,0.76,#N/A N/A,#N/A N/A,33067.8,0.7093,22330.52,54.0899,0.7093,0.7645,0.6934,45.642,#N/A N/A,86.016,0.7482
8/8/2016,CELH US Equity,0.723,0.76,0.76,0.723,9288,0.723,0.76,#N/A N/A,#N/A N/A,32727,0.7113,6964.88,48.2857,0.7113,0.7623,0.6935,45.759,#N/A N/A,83.328,0.7499
9/8/2016,CELH US Equity,0.7,0.737,0.737,0.7,8628,0.7,0.733,#N/A N/A,#N/A N/A,28735.9,0.7112,6088.93,43.2838,0.7112,0.7597,0.6936,46.516,#N/A N/A,80.64,0.7023
10/8/2016,CELH US Equity,0.703,0.7,0.703,0.7,7686,0.703,0.733,#N/A N/A,#N/A N/A,24504,0.712,5386.57,44.1735,0.712,0.7573,0.6936,46.584,#N/A N/A,81.024,0.7007
11/8/2016,CELH US Equity,0.717,0.718,0.718,0.717,675,0.717,0.733,#N/A N/A,#N/A N/A,23859,0.7122,483.45,47.7072,0.7122,0.7554,0.6939,46.838,#N/A N/A,82.56,0.7175
