Dates,Stock,Last Price,Open Price,High Price,Low Price,Volume,Bid Price,Ask Price,Market Order Bid Size,Market Order Ask Size,Average Volume 30 Day,Moving Average 20 Day,Turnover / Traded Value,RSI 14 Day,Moving Average 20 Day,Moving Average 50 Day,Moving Average 200 Day,Volatility 30 Day,Implied Volatility Mid,Current Market Cap,VWAP Price
15/12/2021,UPST US Equity,154.23,144.8749,156.3899,141,6309170,154.08,154.23,#N/A N/A,#N/A N/A,5532940.2,189.293,933395700,30.5467,189.293,269.6848,183.0069,105.217,#N/A N/A,12640.2918,147.9901
16/12/2021,UPST US Equity,140.64,158.078,159.7,138.11,6866153,140.38,140.64,#N/A N/A,#N/A N/A,5656856.267,184.724,1003110000,27.8114,184.724,266.3436,183.4355,107.056,#N/A N/A,11526.4906,146.1916
17/12/2021,UPST US Equity,139.18,136.7076,140.8648,128.45,6523630,138.96,139.16,#N/A N/A,#N/A N/A,5799865.033,180.3645,891277100,27.5262,180.3645,262.9796,183.8756,105.67,#N/A N/A,11406.8327,136.6587
20/12/2021,UPST US Equity,131.5,134.015,136.47,129.5,4792528,131.5,131.73,#N/A N/A,#N/A N/A,5877298.167,176.591,635280000,26.015,176.591,259.385,184.2987,105.249,#N/A N/A,10777.3998,132.6045
21/12/2021,UPST US Equity,149.48,135.43,150.83,134.2,5556147,149.36,149.5,#N/A N/A,#N/A N/A,5957425.7,173.7905,802648400,35.0104,173.7905,256.1562,184.7799,115.108,#N/A N/A,12250.9941,144.447
22/12/2021,UPST US Equity,145.28,145.4467,150.8199,142.22,4402235,145.25,145.26,#N/A N/A,#N/A N/A,5882566.333,171.1865,643182000,33.9714,171.1865,252.4008,185.2414,101.478,#N/A N/A,11906.773,146.1416
23/12/2021,UPST US Equity,148.14,145.75,149.56,142.57,2565861,148.04,148.25,#N/A N/A,#N/A N/A,5486673.467,168.2135,376062800,35.3778,168.2135,248.4658,185.6859,101.886,#N/A N/A,12141.1712,146.5121
24/12/2021,UPST US Equity,148.14,145.75,149.56,142.57,2565861,148.04,148.25,#N/A N/A,#N/A N/A,5486673.467,168.2135,376062800,35.3778,168.2135,248.4658,185.6859,101.886,#N/A N/A,12141.1712,146.5121
27/12/2021,UPST US Equity,160.04,151.52,163.2,150.81,5085168,160.03,160.22,#N/A N/A,#N/A N/A,5477797.7,165.745,808866600,41.0083,165.745,244.073,186.1961,102.39,#N/A N/A,13116.4644,158.9812
28/12/2021,UPST US Equity,148.97,162.11,162.8144,147.8,5138978,148.84,148.97,#N/A N/A,#N/A N/A,5468468.9,162.568,780742600,37.7162,162.568,239.2524,186.6263,98.626,#N/A N/A,12209.1958,151.9498
29/12/2021,UPST US Equity,147.9,148.91,150.5273,141.06,3769886,147.78,147.9,#N/A N/A,#N/A N/A,5334077.167,159.7185,552405200,37.4036,159.7185,234.5462,187.0655,98.359,#N/A N/A,12121.5014,146.5681
30/12/2021,UPST US Equity,155.43,147.27,162.7644,146.4,5677738,155.25,155.41,#N/A N/A,#N/A N/A,5389722.767,158.5075,890222000,41.1028,158.5075,230.3132,187.5387,100.309,#N/A N/A,12738.6407,156.8396
31/12/2021,UPST US Equity,151.3,153.23,156.9,151.07,2545018,151.21,151.32,#N/A N/A,#N/A N/A,5375391.067,157.2225,391592900,39.7165,157.2225,226.2228,187.7198,100.334,#N/A N/A,12400.1566,153.7861
3/1/2022,UPST US Equity,144.66,153.62,155.6,144.12,3554680,144.66,144.82,#N/A N/A,#N/A N/A,5377372.7,155.876,522958000,37.5251,155.876,222.0292,187.8167,98.069,#N/A N/A,11855.9594,147.0985
4/1/2022,UPST US Equity,136.58,144.91,146.83,133.34,5711668,136.49,136.63,#N/A N/A,#N/A N/A,5351868.167,153.897,781784600,34.9947,153.897,217.9096,187.6752,98.975,#N/A N/A,11193.7435,136.9196
5/1/2022,UPST US Equity,123.82,135.122,142.74,123.1,6367836,123.68,123.82,#N/A N/A,#N/A N/A,5368879.1,150.394,828776900,31.3945,150.394,213.1898,187.7019,101.865,#N/A N/A,10147.9669,130.1775
6/1/2022,UPST US Equity,118.43,122.5,124.3,113.32,7782471,118.38,118.45,#N/A N/A,#N/A N/A,5439400.233,146.597,933737500,29.9909,146.597,209.0168,187.7327,100.049,#N/A N/A,9706.2164,119.9
7/1/2022,UPST US Equity,116.95,119.03,125.25,114.5767,5847460,116.76,116.95,#N/A N/A,#N/A N/A,5490298.8,143.4645,696461800,29.5996,143.4645,205.0658,187.6988,99.698,#N/A N/A,9584.9195,119.1134
10/1/2022,UPST US Equity,114.42,113.51,114.6099,107.29,8062185,114.24,114.43,#N/A N/A,#N/A N/A,5686200.3,141.148,890717800,28.9053,141.148,200.7542,187.5561,99.113,#N/A N/A,9377.5672,110.4972
11/1/2022,UPST US Equity,121.06,113.35,124.65,112.1,5315342,120.91,121.06,#N/A N/A,#N/A N/A,5741207.7,139.648,635234200,33.3257,139.648,196.7346,187.489,101.665,#N/A N/A,9921.7644,119.4857
12/1/2022,UPST US Equity,118.41,125.6,128.2899,117.1975,5298826,118.3,118.41,#N/A N/A,#N/A N/A,5761918.4,138.321,646309400,32.4583,138.321,192.2082,187.4346,95.429,#N/A N/A,9704.5773,122.0572
13/1/2022,UPST US Equity,109.25,119.28,120.97,108.56,4647158,109.25,109.45,#N/A N/A,#N/A N/A,5706686.967,136.072,525867100,29.5913,136.072,187.5114,187.3366,97.463,#N/A N/A,8953.8474,113.1886
14/1/2022,UPST US Equity,111.11,107.85,114.2811,107.6285,4903488,111.04,111.18,#N/A N/A,#N/A N/A,5514761.233,134.5955,542806700,30.9255,134.5955,183.1314,187.1707,97.861,#N/A N/A,9106.2882,110.7234
17/1/2022,UPST US Equity,111.11,107.85,114.2811,107.6285,4903488,111.04,111.18,#N/A N/A,#N/A N/A,5514761.233,134.5955,542806700,30.9255,134.5955,183.1314,187.1707,97.861,#N/A N/A,9106.2882,110.7234
18/1/2022,UPST US Equity,109.91,107.5,115.28,105.3,5949749,109.91,110.08,#N/A N/A,#N/A N/A,5455968.7,133.132,662036700,30.5236,133.132,178.8954,187.0177,97.035,#N/A N/A,9007.9393,111.2933
19/1/2022,UPST US Equity,106.01,110.53,112.88,105.49,3993883,105.82,106.01,#N/A N/A,#N/A N/A,5429642.733,131.8575,432115700,29.1957,131.8575,174.3844,186.8262,90.716,#N/A N/A,8688.3054,108.2025
20/1/2022,UPST US Equity,107.15,108,117.76,106.6,5544075,107.11,107.15,#N/A N/A,#N/A N/A,5448398.133,129.741,624384700,30.1523,129.741,169.8354,186.7316,90.944,#N/A N/A,8781.7368,112.6444
21/1/2022,UPST US Equity,92.72,105.002,106.2799,91.83,9072056,92.71,92.78,#N/A N/A,#N/A N/A,5602209.967,127.113,886369000,25.463,127.113,165.4156,186.5786,96.797,#N/A N/A,7599.0913,97.8939
24/1/2022,UPST US Equity,91.36,86.4011,92.15,75.15,12901358,91.3,91.34,#N/A N/A,#N/A N/A,5883460.733,124.274,1065587000,25.0673,124.274,162.111,186.3989,92.874,#N/A N/A,7487.6293,82.6497
25/1/2022,UPST US Equity,94.2,88.64,98.27,88.34,7108285,94.19,94.25,#N/A N/A,#N/A N/A,5885408.467,120.982,663222500,27.5975,120.982,159.0746,186.3076,93.069,#N/A N/A,7720.3883,93.3906
26/1/2022,UPST US Equity,96.05,98.23,106.0696,94,9932891,96.05,96.25,#N/A N/A,#N/A N/A,5988395.7,118.336,995007300,29.2729,118.336,155.712,186.2356,93.33,#N/A N/A,7872.0095,100.1582
27/1/2022,UPST US Equity,90.13,100.5,103,87.03,9377020,90.03,90.13,#N/A N/A,#N/A N/A,6020098.1,115.4475,862111100,27.111,115.4475,152.839,186.1637,91.362,#N/A N/A,7386.8216,92.0243
28/1/2022,UPST US Equity,95,89.04,96.69,87.26,6893487,94.95,95,#N/A N/A,#N/A N/A,6039575.333,112.426,637536600,31.5871,112.426,150.0188,186.0867,90.803,#N/A N/A,7785.9542,92.5434
31/1/2022,UPST US Equity,109.01,96.17,110.01,95,6743996,108.92,109.01,#N/A N/A,#N/A N/A,6035503.433,110.3115,708554200,42.5224,110.3115,147.5586,186.1085,101.459,#N/A N/A,8934.1776,105.0475
1/2/2022,UPST US Equity,117.33,111.3,120.748,106.4,11496993,117.33,117.34,#N/A N/A,#N/A N/A,6201282.2,108.945,1326646000,47.8531,108.945,145.3778,186.2074,103.183,#N/A N/A,9616.0633,115.4232
2/2/2022,UPST US Equity,105.79,115.04,116.4,103.11,7537776,105.7,105.8,#N/A N/A,#N/A N/A,6292790.467,107.4055,814478300,42.0305,107.4055,143.3542,186.2774,98.873,#N/A N/A,8670.2747,108.0326
3/2/2022,UPST US Equity,97.93,99.63,105.2,97.1,5422846,97.86,97.99,#N/A N/A,#N/A N/A,6288347.1,106.111,542218900,38.5866,106.111,141.203,186.264,100.69,#N/A N/A,8026.0895,100.0688
4/2/2022,UPST US Equity,98.63,99.57,101.4,93.22,6249869,98.51,98.64,#N/A N/A,#N/A N/A,6349934.9,105.121,608998500,39.0654,105.121,139.2284,186.2499,100.38,#N/A N/A,8083.4596,97.4148
7/2/2022,UPST US Equity,96.04,99.49,105.1499,95.28,4936260,95.93,96.04,#N/A N/A,#N/A N/A,6428948.2,104.0755,490473500,37.8883,104.0755,136.9972,186.1932,96.346,#N/A N/A,7871.1899,99.4234
8/2/2022,UPST US Equity,99.97,95,100.91,94.67,4141273,99.92,99.97,#N/A N/A,#N/A N/A,6397485.033,103.353,408476900,40.8032,103.353,134.8084,186.1369,96.334,#N/A N/A,8193.2826,98.6534
9/2/2022,UPST US Equity,112.29,102.893,113.2438,102.765,6599656,112.2,112.29,#N/A N/A,#N/A N/A,6446174.3,102.9145,722850900,48.8993,102.9145,132.804,186.1167,103.904,#N/A N/A,9202.9979,109.4724
10/2/2022,UPST US Equity,106,107.84,120.04,102.18,11233226,105.93,106,#N/A N/A,#N/A N/A,6694952.3,102.294,1252873000,45.4793,102.294,130.8262,186.0779,103.196,#N/A N/A,8687.4858,111.4948
11/2/2022,UPST US Equity,100.02,106.12,108.88,98.25,6731495,100.02,100.03,#N/A N/A,#N/A N/A,6730077.533,101.8325,694844900,42.4404,101.8325,129.2336,186.0352,103.999,#N/A N/A,8197.3804,103.2176
14/2/2022,UPST US Equity,104.6,100.03,108.78,97.5487,7228030,104.5,104.6,#N/A N/A,#N/A N/A,6886177.933,101.507,755671700,45.447,101.507,127.7856,186.0131,105.009,#N/A N/A,8572.7454,104.4989
15/2/2022,UPST US Equity,109.11,107.5,109.8736,98.8,18893985,109,109.09,#N/A N/A,#N/A N/A,7397488.1,101.467,2164403000,48.3103,101.467,126.536,185.9877,105.17,#N/A N/A,8942.3733,113.6945
16/2/2022,UPST US Equity,148.01,137.2,150.1,133.03,33837962,147.98,148.01,#N/A N/A,#N/A N/A,8335031.233,103.567,4851581000,65.2514,103.567,125.973,186.1909,137.334,#N/A N/A,12382.467,143.391
